-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     188.039ms        47.61%     188.039ms     188.039ms           0 b           0 b           0 b           0 b             1            --  
                                               aten::mm         1.20%       2.637ms         1.60%       3.506ms      23.691us     101.023ms        25.58%     101.023ms     682.590us           0 b           0 b       1.06 Gb       1.06 Gb           148    892644.360  
                                            aten::addmm         1.13%       2.491ms         2.08%       4.573ms      61.793us      53.345ms        13.51%      53.345ms     720.882us           0 b           0 b     892.45 Mb     892.45 Mb            74    446322.180  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      36.003ms         9.12%      36.003ms       1.440ms           0 b           0 b           0 b           0 b            25            --  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      31.377ms         7.95%      31.377ms     514.382us           0 b           0 b           0 b           0 b            61            --  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      21.968ms         5.56%      21.968ms       1.690ms           0 b           0 b           0 b           0 b            13            --  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      14.999ms         3.80%      14.999ms     306.112us           0 b           0 b           0 b           0 b            49            --  
                        ampere_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.763ms         3.48%      13.763ms       1.147ms           0 b           0 b           0 b           0 b            12            --  
                                 ampere_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us      13.153ms         3.33%      13.153ms     268.430us           0 b           0 b           0 b           0 b            49            --  
                                  ampere_sgemm_64x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      12.357ms         3.13%      12.357ms       1.030ms           0 b           0 b           0 b           0 b            12            --  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      11.465ms         2.90%      11.465ms      11.465ms           0 b           0 b           0 b           0 b             1            --  
                    aten::_efficient_attention_backward         0.18%     396.303us         0.73%       1.610ms     134.202us      10.958ms         2.77%      11.621ms     968.441us           0 b           0 b     220.75 Mb    -146.32 Mb            12            --  
fmha_cutlassB_f32_aligned_64x64_k64_dropout_sm80(PyT...         0.00%       0.000us         0.00%       0.000us       0.000us      10.958ms         2.77%      10.958ms     913.180us           0 b           0 b           0 b           0 b            12            --  
                                 ampere_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us      10.746ms         2.72%      10.746ms      10.746ms           0 b           0 b           0 b           0 b             1            --  
                     aten::_efficient_attention_forward         0.11%     243.492us         0.35%     761.530us      63.461us       5.790ms         1.47%       5.790ms     482.523us         192 b           0 b      73.12 Mb           0 b            12            --  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       5.790ms         1.47%       5.790ms     482.523us           0 b           0 b           0 b           0 b            12            --  
                                    aten::_foreach_mul_         0.14%     301.177us         0.20%     432.005us     108.001us       3.470ms         0.88%       3.470ms     867.510us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.317ms         0.59%       2.317ms     165.476us           0 b           0 b           0 b           0 b            14            --  
                                aten::_foreach_addcdiv_         0.11%     243.574us         0.13%     295.956us     147.978us       2.197ms         0.56%       2.197ms       1.099ms           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       2.197ms         0.56%       2.197ms     244.165us           0 b           0 b           0 b           0 b             9            --  
                                              aten::sum         0.62%       1.362ms         0.98%       2.151ms      24.723us       2.092ms         0.53%       2.092ms      24.041us           0 b           0 b       3.06 Mb       3.06 Mb            87            --  
                                aten::_foreach_addcmul_         0.12%     254.207us         0.14%     305.947us     152.974us       1.690ms         0.43%       1.690ms     844.965us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.690ms         0.43%       1.690ms     187.770us           0 b           0 b           0 b           0 b             9            --  
                                   aten::_foreach_lerp_         0.03%      59.043us         0.05%      99.817us      49.908us       1.682ms         0.43%       1.682ms     841.141us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.682ms         0.43%       1.682ms     210.285us           0 b           0 b           0 b           0 b             8            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.637ms         0.41%       1.637ms      22.124us           0 b           0 b           0 b           0 b            74            --  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.432ms         0.36%       1.432ms      19.351us           0 b           0 b           0 b           0 b            74            --  
                       aten::_log_softmax_backward_data         0.01%      18.016us         0.08%     174.017us     174.017us       1.234ms         0.31%       1.234ms       1.234ms           0 b           0 b     238.45 Mb     238.45 Mb             1            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.234ms         0.31%       1.234ms       1.234ms           0 b           0 b           0 b           0 b             1            --  
                                    aten::_foreach_sqrt         0.19%     426.019us         0.57%       1.258ms     628.750us       1.173ms         0.30%       1.173ms     586.499us           0 b           0 b     418.51 Mb           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.173ms         0.30%       1.173ms     146.625us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_add_         0.19%     415.400us         0.28%     608.036us     152.009us       1.172ms         0.30%       1.172ms     292.962us           0 b           0 b           0 b           0 b             4            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.172ms         0.30%       1.172ms     146.481us           0 b           0 b           0 b           0 b             8            --  
                                    aten::_foreach_div_         0.09%     189.950us         0.11%     239.296us     119.648us       1.168ms         0.30%       1.168ms     583.797us           0 b           0 b           0 b           0 b             2            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.168ms         0.30%       1.168ms     145.949us           0 b           0 b           0 b           0 b             8            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us       1.153ms         0.29%       1.153ms     192.231us           0 b           0 b           0 b           0 b             6            --  
                                    aten::gelu_backward         0.06%     139.265us         0.10%     216.670us      16.667us       1.055ms         0.27%       1.055ms      81.138us           0 b           0 b     294.75 Mb     294.75 Mb            13            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.055ms         0.27%       1.055ms      81.138us           0 b           0 b           0 b           0 b            13            --  
                       aten::native_layer_norm_backward         0.15%     333.924us         0.41%     902.970us      34.730us       1.040ms         0.26%       1.040ms      39.998us           0 b           0 b     159.90 Mb           0 b            26            --  
                                             aten::add_         0.23%     497.426us         0.35%     774.367us       3.085us     904.675us         0.23%     904.675us       3.604us           0 b           0 b           0 b           0 b           251            --  
                                     aten::_log_softmax         0.01%      25.425us         0.06%     140.680us     140.680us     840.518us         0.21%     840.518us     840.518us           0 b           0 b     238.45 Mb     238.45 Mb             1            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     840.518us         0.21%     840.518us     840.518us           0 b           0 b           0 b           0 b             1            --  
                                              aten::add         0.87%       1.915ms         0.95%       2.080ms      74.303us     750.724us         0.19%     750.724us      26.812us           0 b           0 b     239.42 Mb     239.42 Mb            28        62.762  
                                             aten::gelu         0.11%     244.087us         0.42%     914.828us      70.371us     699.303us         0.18%     699.303us      53.793us           0 b           0 b     294.00 Mb     294.00 Mb            13            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     699.303us         0.18%     699.303us      53.793us           0 b           0 b           0 b           0 b            13            --  
                                    aten::_foreach_norm         0.16%     359.304us         0.53%       1.157ms       1.157ms     570.404us         0.14%     573.060us     573.060us           0 b           0 b     101.00 Kb    -282.50 Kb             1            --  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us     565.796us         0.14%     565.796us      94.299us           0 b           0 b           0 b           0 b             6            --  
                                            aten::fill_         0.04%      85.631us         0.09%     193.863us      10.770us     546.758us         0.14%     546.758us      30.375us           0 b           0 b           0 b           0 b            18            --  
                                aten::native_layer_norm         0.25%     543.747us         0.77%       1.695ms      65.185us     535.812us         0.14%     535.812us      20.608us           0 b           0 b     156.41 Mb           0 b            26            --  
